@RELATION DiggSocialDynamics_AuthorshipBasedFeatures
@ATTRIBUTE authorDiggs  NUMERIC
@ATTRIBUTE authorcomments  NUMERIC
@ATTRIBUTE authorFans  NUMERIC
@ATTRIBUTE authorFollows  NUMERIC
@ATTRIBUTE authorSubmissions  NUMERIC
@ATTRIBUTE class {A, B, C}
@DATA
5183, 13, 451, 659, 156, C
6490, 113, 1598, 2527, 100, C
6185, 118, 281, 60, 29, B
78181, 739, 5043, 283, 864, A
1, 0, 1, 1, 1, A
1073, 258, 507, 110, 46, C
163192, 2959, 8721, 1131, 2273, A
4291, 6, 278, 107, 59, A
6379, 1, 382, 43, 84, B
325505, 14513, 20355, 311, 2148, B
225, 0, 375, 247, 38, C
6185, 118, 281, 60, 29, B
2430, 4, 229, 38, 45, B
2430, 4, 229, 38, 45, B
4291, 6, 278, 107, 59, A
952, 2, 922, 17, 312, C
86566, 286, 14560, 190, 3012, B
61, 0, 12, 44, 3, B
766, 9, 132, 40, 33, B
766, 9, 132, 40, 33, A
1662, 5, 202, 20, 40, B
283, 2, 51, 56, 4, A
6219, 27, 412, 41, 72, B
7570, 252, 525, 50, 120, B
924, 10, 57, 3, 32, A
1183, 5, 40, 7, 15, A
7570, 252, 525, 50, 120, C
302, 6, 45, 2, 10, A
11497, 18, 571, 44, 165, B
5495, 40, 269, 53, 76, B
1531, 0, 516, 261, 143, C
927, 4, 66, 12, 73, A
2463, 12, 217, 573, 77, B
3593, 5, 195, 33, 47, B
3593, 5, 195, 33, 47, C
2463, 12, 217, 573, 77, B
2054, 400, 286, 151, 1192, B
72084, 3896, 6801, 368, 1376, A
3713, 6, 296, 14, 92, C
23784, 118, 3289, 1189, 306, B
2658, 10, 350, 36, 142, B
6185, 118, 281, 60, 29, C
1531, 0, 516, 261, 143, B
92997, 477, 3648, 109, 359, B
14439, 55, 1162, 687, 283, B
1590, 7, 222, 212, 30, A
2513, 4, 104, 34, 68, A
2513, 4, 104, 34, 68, A
2003, 6, 307, 170, 365, B
5495, 40, 269, 53, 76, C
13439, 12, 1599, 54, 282, B
74114, 3551, 3051, 155, 1800, C
315, 1, 90, 49, 8, B
180, 0, 30, 17, 11, A
1590, 32, 102, 174, 639, B
120964, 17053, 7637, 27, 12056, B
123229, 1216, 6264, 30, 1735, C
122396, 2355, 4489, 353, 400, C
329425, 6164, 18139, 459, 3633, C
4982, 1, 280, 39, 63, B
217898, 11753, 11736, 183, 2468, B
214, 0, 3, 0, 6, C
107, 0, 0, 0, 7, B
140635, 7902, 14918, 451, 2349, B
61067, 2743, 4795, 246, 675, B
325505, 14513, 20355, 311, 2148, B
11497, 18, 571, 44, 165, B
93293, 496, 10073, 396, 1552, A
2665, 259, 355, 58, 118, A
147388, 29039, 12127, 397, 1404, B
66828, 6675, 6453, 722, 937, A
325505, 14513, 20355, 311, 2148, A
5191, 3, 1228, 52, 2597, C
16585, 96, 1497, 657, 210, A
92997, 477, 3648, 109, 359, B
4435, 2, 233, 23, 71, A
4940, 1, 276, 33, 71, C
39603, 1084, 4589, 44, 724, B
890, 9, 248, 15, 40, B
93193, 482, 19935, 1605, 4426, C
116403, 2859, 6080, 374, 586, B
4552, 4, 354, 40, 91, C
325505, 14513, 20355, 311, 2148, A
58483, 1454, 5641, 964, 760, A
138783, 711, 8158, 290, 1434, A
7366, 210, 1042, 270, 198, B
9852, 20, 898, 664, 90, B
1032, 20, 172, 90, 87, B
122396, 2355, 4489, 353, 400, C
109470, 548, 6099, 283, 894, B
61067, 2743, 4795, 246, 675, B
279, 14, 75, 38, 23, B
336, 16, 60, 28, 110, A
2184, 10, 184, 84, 403, A
3674, 15, 968, 62, 209, C
139124, 4910, 10248, 308, 1537, A
2414, 1244, 410, 336, 59, C
37059, 7954, 3816, 150, 669, A
4426, 48, 402, 161, 57, B
89683, 15816, 14333, 1550, 2667, B
108053, 1205, 7385, 351, 1595, B
41348, 6137, 3496, 446, 2269, C
7093, 14, 610, 395, 66, A
2665, 259, 355, 58, 118, A
109470, 548, 6099, 283, 894, B
12541, 292, 1596, 372, 254, B
1550, 94, 104, 58, 390, B
1437, 7, 190, 38, 36, C
203726, 4805, 11276, 316, 1871, A
76499, 142, 4644, 391, 1088, B
71992, 2222, 3469, 272, 467, B
24696, 612, 2727, 102, 383, A
8218, 154, 820, 241, 1796, B
8218, 154, 820, 241, 1796, B
2975, 23, 460, 43, 62, C
115800, 1166, 12264, 1991, 3103, C
2003, 6, 307, 170, 365, B
109470, 548, 6099, 283, 894, C
877, 2, 90, 33, 31, B
7366, 210, 1042, 270, 198, C
147388, 29039, 12127, 397, 1404, C
877, 2, 90, 33, 31, B
1437, 7, 190, 38, 36, B
536, 206, 77, 10, 425, B
6096, 12, 735, 29, 147, C
7885, 24, 564, 123, 231, B
93293, 496, 10073, 396, 1552, B
8218, 154, 820, 241, 1796, B
7885, 24, 564, 123, 231, B
153312, 2528, 9792, 1066, 1567, C
55, 0, 0, 0, 1, B
1139, 7, 162, 36, 36, B
4426, 48, 402, 161, 57, B
4426, 48, 402, 161, 57, A
12541, 292, 1596, 372, 254, B
93193, 482, 19935, 1605, 4426, C
97290, 1576, 26421, 615, 20976, C
4878, 43, 336, 41, 97, A
89683, 15816, 14333, 1550, 2667, A
960, 140, 214, 156, 32, A
59648, 1268, 4852, 112, 796, B
59805, 754, 4787, 284, 1094, A
86566, 286, 14560, 190, 3012, C
13950, 289, 2957, 224, 551, A
86566, 286, 14560, 190, 3012, C
62992, 3120, 5690, 601, 1005, B
8589, 43, 136, 234, 891, C
86566, 286, 14560, 190, 3012, C
27685, 5178, 3916, 792, 590, A
27685, 5178, 3916, 792, 590, C
325505, 14513, 20355, 311, 2148, A
43658, 930, 2596, 970, 4284, A
71992, 2222, 3469, 272, 467, C
46395, 1937, 2289, 365, 511, C
191, 2, 31, 12, 79, A
89683, 15816, 14333, 1550, 2667, C
4426, 48, 402, 161, 57, B
191, 2, 31, 12, 79, A
191, 2, 31, 12, 79, A
191, 2, 31, 12, 79, A
191, 2, 31, 12, 79, A
35941, 1637, 5285, 1826, 1122, B
2184, 10, 184, 84, 403, A
2430, 4, 229, 38, 45, B
163194, 2959, 8721, 1131, 2273, C
8218, 154, 820, 241, 1796, A
325505, 14513, 20355, 311, 2148, B
538, 0, 179, 34, 28, C
8695, 11, 895, 511, 148, C
8218, 154, 820, 241, 1796, C
2430, 4, 229, 38, 45, C
2414, 1244, 410, 336, 59, C
3902, 2, 542, 52, 123, B
678, 63, 69, 42, 615, C
4801, 3, 358, 278, 55, B
6185, 118, 281, 60, 29, A
101, 0, 39, 57, 12, B
2665, 259, 355, 58, 118, B
3548, 7, 173, 19, 45, B
7571, 252, 525, 50, 120, C
13439, 12, 1599, 54, 282, C
1477, 0, 227, 1347, 4, C
4801, 3, 358, 278, 55, C
580, 1, 25, 2, 8, A
14439, 55, 1162, 687, 283, C
7571, 252, 525, 50, 120, C
145565, 367, 13198, 1644, 3369, A
1139, 7, 162, 36, 36, C
576, 0, 22, 6, 8, A
86566, 286, 14560, 190, 3012, B
127612, 1092, 13213, -19, 2314, A
127612, 1092, 13213, -19, 2314, B
2163, 3, 109, 52, 13, C
2478, 209, 349, 479, 29, B
750, 7, 68, 237, 15, A
64153, 834, 2440, 1044, 31513, B
9453, 7, 331, 64, 505, B
86566, 286, 14560, 190, 3012, A
65082, 224, 4370, 194, 247, A
7366, 210, 1042, 270, 198, A
89683, 15816, 14333, 1550, 2667, B
10202, 141, 467, 2, 8943, B
496, 11, 419, 532, 352, A
325505, 14513, 20355, 311, 2148, C
7885, 24, 564, 123, 231, A
5191, 3, 1228, 52, 2597, C
59805, 754, 4787, 284, 1094, A
139124, 4910, 10248, 308, 1537, A
203726, 4805, 11276, 316, 1871, B
93293, 496, 10073, 396, 1552, A
109878, 4376, 10365, 1581, 1942, B
153312, 2528, 9792, 1066, 1567, C
28266, 1051, 8871, 276, 2177, B
112, 3, 5, 31, 3, B
93193, 482, 19935, 1605, 4426, C
290, 18, 137, 39, 14, C
93193, 482, 19935, 1605, 4426, B
890, 9, 248, 15, 40, C
12615, 175, 658, 77, 35, C
9410, 6362, -884, 221, 4778, C
41348, 6137, 3496, 446, 2269, A
9410, 6362, -884, 221, 4778, C
74115, 3551, 3051, 155, 1800, C
8695, 11, 895, 511, 148, B
2184, 10, 184, 84, 403, A
140635, 7902, 14918, 451, 2349, A
38821, 737, 696, 513, 25922, B
37059, 7954, 3816, 150, 669, B
8589, 43, 136, 234, 891, B
86566, 286, 14560, 190, 3012, B
147388, 29039, 12127, 397, 1404, C
8658, 199, 1015, 928, 43, A
7628, 10, 627, 84, 139, B
50657, 264, 2939, 179, 632, A
7571, 252, 525, 50, 120, B
71992, 2222, 3469, 272, 467, C
2353, 10, 174, 14, 28, B
16387, 4852, 2807, 588, 4178, B
106411, 6034, 18073, 537, 3653, C
35650, 557, 2871, 1377, 249, C
7479, 63, 1815, 521, 229, B
2184, 10, 184, 84, 403, A
2205, 13, 768, 22, 307, B
109878, 4376, 10365, 1581, 1942, B
92039, 2895, 13903, 337, 4006, B
49158, 2011, 6543, 925, 1479, B
22655, 241, 9339, 311, 1216, C
122396, 2355, 4489, 353, 400, C
49158, 2011, 6543, 925, 1479, B
12849, 151, 884, 201, 165, C
12849, 151, 884, 201, 165, A
98236, 346, 6730, 66, 928, B
4764, 8, 1143, 903, 81, C
197051, 1105, 11821, 227, 1037, C
1139, 7, 162, 36, 36, A
97290, 1576, 26421, 615, 20976, C
1328, 16, 136, 26, 13, C
1328, 16, 136, 26, 13, C
4426, 48, 402, 161, 57, B
4834, 37, 338, 33, 78, A
78181, 739, 5043, 283, 864, B
510, 810, 123, 22, 216, C
10836, 3, 218, 127, 828, B
4834, 37, 338, 33, 78, C
30, 0, 23, 21, 1, A
89683, 15816, 14333, 1550, 2667, B
43658, 930, 2596, 970, 4284, A
43658, 930, 2596, 970, 4284, B
4833, 6777, 649, 36, 1280, C
95170, 8068, 4826, 657, 3630, C
7628, 10, 627, 84, 139, B
43658, 930, 2596, 970, 4284, A
41348, 6137, 3496, 446, 2269, B
93193, 482, 19935, 1605, 4426, C
93193, 482, 19935, 1605, 4426, A
793, 0, 262, 370, 15, A
3713, 6, 296, 14, 92, B
203, 1, 3, 1, 1, A
324, 0, 35, 17, 15, A
1139, 7, 162, 36, 36, B
5133, 21, 338, 431, 100, B
97290, 1576, 26421, 615, 20976, C
65, 0, 40, 27, 54, A
166, 0, 0, 0, 4, C
97303, 1576, 26421, 615, 20977, A
