@RELATION DiggSocialDynamics_AuthorshipBasedFeatures
@ATTRIBUTE authorDiggs  NUMERIC
@ATTRIBUTE authorcomments  NUMERIC
@ATTRIBUTE authorFans  NUMERIC
@ATTRIBUTE authorFollows  NUMERIC
@ATTRIBUTE authorSubmissions  NUMERIC
@ATTRIBUTE class {A, B, C}
@DATA
14439, 55, 1162, 687, 283, C
4302, 1527, 385, 45, 464, A
537, 16, 55, 0, 6, A
140635, 7902, 14918, 451, 2349, B
97290, 1576, 26421, 615, 20976, C
51937, 218, 3966, 581, 544, B
7013, 53, 1925, 66, 387, A
89683, 15816, 14333, 1550, 2667, B
62, 0, 21, 0, 10, A
123675, 3530, 15477, 516, 1738, C
11497, 18, 571, 44, 165, B
6064, 7, 420, 73, 68, B
32993, 55, 5661, 222, 1335, B
76499, 142, 4644, 391, 1088, C
147388, 29039, 12127, 397, 1404, B
12541, 292, 1596, 372, 254, B
3687, 9, 457, 30, 85, B
115800, 1166, 12264, 1991, 3103, C
122396, 2355, 4489, 353, 400, B
18489, 28, 3776, 39, 745, B
5740, 1, 403, 37, 82, C
20915, 6165, 1549, 977, 5409, C
66576, 117, 3531, 225, 897, C
7093, 14, 610, 395, 66, B
66576, 117, 3531, 225, 897, B
1328, 16, 136, 26, 13, A
787, 33, 94, 16, 21, A
145, 6, 27, 0, 4, B
3713, 6, 296, 14, 92, B
7567, 252, 524, 50, 120, C
82024, 2682, 7305, 863, 1010, A
68664, 1593, 5125, 673, 1478, B
55961, 23, 3799, 151, 872, B
41348, 6137, 3496, 446, 2269, A
344, 1, 35, 23, 10, A
55961, 23, 3799, 151, 872, C
82024, 2682, 7305, 863, 1010, C
49158, 2011, 6543, 925, 1479, B
115295, 124, 6578, 381, 1522, C
1526, 14, 105, 70, 14, B
59805, 754, 4787, 284, 1094, A
62194, 104, 4321, 185, 954, A
51937, 218, 3966, 581, 544, B
86566, 286, 14560, 190, 3012, C
47, 7, 41, 14, 8, C
74111, 3551, 3051, 155, 1800, C
1526, 14, 105, 70, 14, B
2975, 23, 460, 43, 62, B
2975, 23, 460, 43, 62, B
6064, 7, 420, 73, 68, C
34473, 1309, 2530, 134, 405, B
147388, 29039, 12127, 397, 1404, C
1032, 20, 172, 90, 87, C
1365, 0, 327, 329, 20, B
1365, 0, 327, 329, 20, C
34473, 1309, 2530, 134, 405, C
147388, 29039, 12127, 397, 1404, C
7366, 210, 1042, 270, 198, B
109470, 548, 6099, 283, 894, C
4834, 37, 338, 33, 78, C
4878, 43, 336, 41, 97, A
109470, 548, 6099, 283, 894, C
22, 4, 90, 54, 9, A
98236, 346, 6730, 66, 928, C
29828, 355, 7287, 470, 815, B
86566, 286, 14560, 190, 3012, C
4426, 48, 402, 161, 57, B
24010, 106, 10303, 1601, 2621, A
496, 11, 419, 532, 352, A
62194, 104, 4321, 185, 954, C
4426, 48, 402, 161, 57, A
