@RELATION Digg_SocialDynamicsBasedFeatures
@ATTRIBUTE digg1  NUMERIC
@ATTRIBUTE digg2  NUMERIC
@ATTRIBUTE digg3  NUMERIC
@ATTRIBUTE upc1  NUMERIC
@ATTRIBUTE upc2  NUMERIC
@ATTRIBUTE upc3  NUMERIC
@ATTRIBUTE tpc1  NUMERIC
@ATTRIBUTE tpc2  NUMERIC
@ATTRIBUTE tpc3  NUMERIC
@ATTRIBUTE class {A, B, C}
@DATA
22,29,34,5,12,18,0,0,0,B
20,26,30,5,12,18,14,26,40,C
12,16,19,5,12,18,0,0,0,C
18,18,18,5,11,17,0,0,0,A
3,6,6,1,8,15,0,0,0,A
4,6,7,1,8,15,0,0,0,A
3,6,7,1,8,15,0,0,0,A
0,12,16,0,4,11,0,0,0,A
13,21,26,7,13,20,7,13,19,C
5,12,14,4,11,17,7,13,20,B
5,7,8,4,10,17,0,0,0,A
7,9,10,3,9,15,0,0,0,A
12,16,21,6,12,19,7,13,19,B
6,7,9,6,12,18,0,0,0,A
7,9,10,5,12,18,0,0,0,A
5,6,7,5,11,18,0,0,0,A
7,10,10,5,11,17,0,0,0,A
19,30,39,5,12,18,0,0,0,B
12,20,29,5,11,18,7,13,19,C
4,21,23,3,9,16,21,40,58,C
4,5,5,5,12,18,0,0,0,A
2,10,12,2,9,15,0,0,0,A
2,2,4,2,8,15,0,0,0,A
10,12,14,1,8,14,6,12,19,B
2,2,3,4,10,17,0,0,0,A
2,2,3,6,12,19,0,0,0,A
3,4,4,4,10,17,0,0,0,A
12,20,26,5,12,18,0,0,0,B
15,20,28,5,12,18,7,13,20,C
3,4,5,5,12,18,0,0,0,A
11,17,20,5,11,18,0,0,0,B
21,28,34,5,11,18,6,13,19,C
4,5,5,3,9,16,0,0,0,A
0,2,2,0,6,13,0,0,0,A
5,6,7,5,12,18,0,0,0,A
7,12,15,4,11,18,0,0,0,A
15,17,21,5,12,18,0,0,0,B
3,3,3,5,12,18,0,0,0,A
0,5,5,0,4,10,0,0,0,A
3,3,4,4,10,17,0,0,0,A
2,2,3,0,7,13,0,0,0,B
15,26,32,6,12,19,0,0,0,B
6,8,11,6,12,19,0,0,0,A
6,8,10,5,12,18,0,0,0,A
4,8,12,4,11,17,0,0,0,A
3,3,6,4,10,17,0,0,0,A
5,10,16,4,10,17,0,0,0,A
0,2,4,0,6,13,0,0,0,A
0,2,3,0,5,12,0,0,0,A
12,24,30,5,12,15,0,0,0,A
17,31,38,5,11,18,0,0,0,B
7,8,8,6,13,19,0,0,0,A
2,4,6,2,9,15,0,0,0,A
11,13,17,6,13,19,0,0,0,A
3,5,5,2,9,15,0,0,0,B
15,22,25,6,12,19,7,13,20,C
27,28,30,5,12,18,0,0,0,B
13,22,24,5,11,18,0,0,0,B
7,13,16,5,11,18,7,13,20,C
19,26,30,5,11,18,14,26,40,C
9,16,18,6,12,18,0,0,0,A
6,8,10,4,11,17,0,0,0,A
7,10,15,6,12,18,0,0,0,A
9,12,15,5,11,17,0,0,0,A
0,3,3,0,6,13,0,0,0,A
12,15,15,6,13,19,0,0,0,A
11,13,23,5,12,18,0,0,0,C
15,23,33,5,11,17,0,0,0,C
6,8,10,3,10,16,0,0,0,A
5,9,10,3,9,16,0,0,0,A
7,8,11,6,12,18,0,0,0,A
7,7,10,5,12,18,0,0,0,A
6,7,8,5,11,17,0,0,0,A
0,0,0,0,0,0,0,0,0,A
5,7,7,5,12,18,0,0,0,A
8,10,11,5,11,17,0,0,0,A
14,18,26,5,12,18,12,26,39,C
5,7,9,5,12,18,0,0,0,A
4,5,5,5,12,18,0,0,0,A
5,7,7,5,12,18,0,0,0,A
5,7,10,4,10,16,0,0,0,A
12,13,20,6,12,18,0,0,0,A
10,13,18,4,11,17,0,0,0,A
4,8,15,1,7,13,7,14,20,B
9,24,33,5,12,18,7,13,22,C
3,4,8,5,11,18,0,0,0,A
11,19,29,4,10,17,6,13,21,C
4,8,23,3,10,16,6,13,20,B
20,20,21,5,11,18,0,0,0,A
10,11,11,4,10,17,0,0,0,A
2,3,3,4,10,16,0,0,0,A
0,0,2,0,0,1,0,0,0,A
4,6,6,6,12,18,0,0,0,A
5,17,25,5,11,17,7,14,24,C
4,15,24,4,10,16,0,0,0,B
6,7,7,6,12,19,0,0,0,A
9,9,10,4,10,17,0,0,0,A
3,4,5,2,8,14,0,0,0,A
0,3,4,0,0,6,0,0,0,A
4,4,4,5,11,18,0,0,0,A
8,9,11,5,11,17,0,0,0,A
0,0,4,0,0,5,0,0,0,A
6,9,10,5,11,17,0,0,0,A
0,3,3,0,5,12,0,0,0,A
27,29,29,6,12,18,0,0,0,A
8,14,16,3,9,16,0,0,0,A
0,0,3,0,0,5,0,0,0,B
9,11,11,6,12,17,0,0,0,A
4,7,12,5,11,17,0,0,0,A
16,23,29,5,11,15,9,22,29,B
12,18,22,6,12,17,10,24,27,C
5,7,8,5,11,16,0,0,0,A
8,17,26,6,12,16,12,25,26,C
12,15,16,6,12,16,13,25,25,B
7,19,26,6,12,16,13,26,26,C
11,21,29,5,11,15,12,26,26,C
8,11,13,5,10,15,0,0,0,A
4,14,14,4,10,15,0,0,0,A
9,19,30,3,10,14,0,0,0,B
0,12,20,0,5,10,0,0,0,A
5,5,5,6,11,15,0,0,0,A
6,6,6,4,9,14,0,0,0,A
5,9,11,1,7,11,12,26,26,B
11,14,19,5,11,14,0,0,0,A
13,17,21,5,11,14,13,17,17,C
13,25,25,4,10,14,0,0,0,C
10,17,18,4,10,14,0,0,0,C
9,13,16,5,11,14,12,12,12,C
16,25,36,5,11,14,0,0,0,C
22,34,44,5,11,14,0,0,0,C
4,8,10,4,10,12,0,0,0,A
9,10,11,4,11,14,0,0,0,A
11,14,21,4,10,13,0,0,0,A
24,33,40,4,10,13,22,22,22,C
13,26,33,4,10,13,12,12,12,C
13,23,35,4,10,13,39,39,39,C
9,9,9,4,9,11,0,0,0,A
12,20,33,4,9,11,28,29,29,C
3,3,3,3,8,11,0,0,0,A
11,22,32,3,8,10,0,0,0,C
12,18,33,2,8,10,0,0,0,C
25,30,44,5,11,14,0,0,0,B
2,13,15,4,10,13,0,0,0,A
19,29,37,4,10,13,7,7,7,C
11,13,13,3,9,12,0,0,0,B
2,2,2,3,9,12,0,0,0,A
10,14,14,2,9,12,0,0,0,A
18,31,35,5,11,14,3,3,3,C
17,25,36,5,11,14,6,6,6,B
19,29,35,4,10,13,5,5,5,C
19,29,40,3,9,12,16,16,16,C
11,21,24,6,11,13,0,0,0,C
13,38,45,5,11,13,0,0,0,B
17,43,58,5,10,13,6,6,6,C
6,7,10,4,10,13,0,0,0,A
5,12,14,4,10,12,0,0,0,A
2,2,2,3,9,11,0,0,0,A
9,19,24,1,6,9,0,0,0,A
5,10,17,3,9,11,0,0,0,A
5,12,17,3,9,11,0,0,0,A
0,4,4,0,3,6,0,0,0,A
0,8,12,0,0,4,0,0,0,A
0,2,2,0,5,7,0,0,0,A
