@RELATION Digg_SocialDynamicsBasedFeatures
@ATTRIBUTE digg1  NUMERIC
@ATTRIBUTE digg2  NUMERIC
@ATTRIBUTE digg3  NUMERIC
@ATTRIBUTE upc1  NUMERIC
@ATTRIBUTE upc2  NUMERIC
@ATTRIBUTE upc3  NUMERIC
@ATTRIBUTE tpc1  NUMERIC
@ATTRIBUTE tpc2  NUMERIC
@ATTRIBUTE tpc3  NUMERIC
@ATTRIBUTE class {A, B, C}
@DATA
0,12,17,0,6,10,13,27,39,B
0,7,9,0,5,10,0,0,0,A
0,25,37,0,5,10,0,0,0,B
0,32,48,0,5,10,0,0,0,C
0,15,27,0,4,10,0,0,0,B
0,24,24,0,4,10,0,0,0,A
0,24,36,0,4,10,12,26,40,C
0,13,36,0,4,8,0,0,0,B
0,29,43,0,3,8,7,13,20,C
0,34,46,0,3,8,6,13,20,C
0,11,16,0,3,8,7,14,20,B
0,23,23,0,3,8,0,0,0,A
0,19,22,0,2,7,0,0,0,A
0,9,12,0,2,7,0,0,0,A
0,16,16,0,2,7,0,0,0,A
0,14,18,0,1,7,7,13,20,B
0,19,19,0,1,7,0,0,0,A
0,16,16,0,1,6,0,0,0,A
0,30,48,0,1,6,0,0,0,C
0,27,42,0,1,6,0,0,0,C
0,11,19,0,1,6,14,26,40,B
0,17,17,0,0,6,0,0,0,A
0,45,58,0,0,6,14,26,40,C
0,0,35,0,0,5,0,0,0,B
0,0,37,0,0,5,12,26,38,C
0,0,40,0,0,4,6,13,19,B
0,0,6,0,0,4,0,0,0,A
0,0,6,0,0,4,0,0,0,A
0,0,20,0,0,4,0,0,0,A
0,0,32,0,0,3,0,0,0,B
0,0,2,0,0,1,0,0,0,A
0,0,2,0,0,1,0,0,0,A
0,0,4,0,0,0,0,0,0,A
17,31,41,6,12,14,7,13,21,C
8,15,22,4,10,12,0,0,0,A
10,23,33,6,12,14,7,14,21,B
2,3,3,1,7,10,0,0,0,A
0,3,3,0,4,8,0,0,0,A
3,4,6,5,11,12,12,26,41,C
5,8,9,5,11,12,0,0,0,A
3,5,7,4,10,12,0,0,0,A
0,3,3,0,5,8,0,0,0,A
0,5,5,0,4,8,0,0,0,A
20,28,29,5,11,12,0,0,0,C
6,14,16,4,10,11,0,0,0,A
18,23,24,6,12,15,0,0,0,A
8,10,11,6,12,15,0,0,0,A
16,19,20,6,12,15,0,0,0,A
4,4,4,6,12,16,0,0,0,A
6,8,9,6,11,16,0,0,0,A
16,31,40,6,11,15,7,14,21,C
22,31,37,6,11,15,7,14,21,B
22,26,31,5,11,15,7,14,21,B
3,3,3,5,11,15,0,0,0,A
4,4,4,5,11,14,0,0,0,A
18,25,32,5,10,13,0,0,0,B
7,9,14,5,10,13,0,0,0,A
7,9,9,4,10,12,0,0,0,A
2,4,4,2,8,9,0,0,0,A
10,19,27,6,11,15,0,0,0,A
7,9,11,5,11,15,6,14,21,C
3,8,8,4,10,14,0,0,0,A
5,8,10,3,9,13,0,0,0,A
16,20,23,5,11,16,0,0,0,A
9,11,12,4,10,15,0,0,0,A
6,8,9,4,10,15,7,14,22,A
5,9,10,4,10,14,0,0,0,A
16,21,36,4,10,14,0,0,0,B
16,17,18,4,10,14,0,0,0,A
3,6,6,4,10,14,0,0,0,A
3,6,6,2,8,12,0,0,0,A
4,5,6,5,11,16,0,0,0,A
6,11,12,5,11,16,0,0,0,A
6,7,7,5,11,16,0,0,0,A
7,8,8,5,11,16,0,0,0,A
21,30,34,5,12,17,0,0,0,B
27,38,50,5,11,15,0,0,0,B
33,43,58,5,11,16,8,14,24,C
13,22,29,5,11,16,0,0,0,A
4,4,4,3,9,14,0,0,0,A
4,10,18,6,12,18,21,44,65,C
17,28,32,5,12,18,0,0,0,C
4,6,7,5,11,18,0,0,0,A
16,29,33,5,11,17,7,15,22,A
3,6,9,1,7,12,7,14,22,A
13,19,31,6,12,18,0,6,13,B
15,21,37,6,12,18,24,45,66,C
7,9,9,5,12,17,0,0,0,A
2,3,3,5,11,17,0,0,0,A
5,5,8,5,11,17,0,0,0,A
20,30,32,4,10,16,8,15,22,B
0,3,3,0,5,10,0,0,0,A
35,44,47,5,11,17,0,0,0,B
5,5,5,4,10,17,0,0,0,A
2,2,3,4,10,16,0,0,0,A
4,15,20,5,11,17,7,14,22,A
20,26,35,5,11,16,0,0,0,A
14,26,35,5,11,16,0,0,0,B
14,25,31,4,11,16,0,0,0,A
13,21,35,4,10,16,0,0,0,C
2,4,5,2,9,15,0,0,0,A
10,10,10,4,11,16,0,0,0,A
4,4,7,2,9,14,0,0,0,A
2,3,3,1,7,13,0,0,0,A
20,27,30,5,12,17,0,0,0,B
7,10,20,5,11,15,0,0,0,B
19,32,39,5,11,15,8,15,23,B
4,9,10,5,11,16,0,0,0,A
13,14,16,5,11,17,8,15,23,B
14,28,32,5,11,16,0,0,0,B
2,2,6,5,11,16,0,0,0,A
8,11,11,4,10,15,0,0,0,A
0,8,19,0,6,12,7,14,21,A
0,3,5,0,2,8,0,0,0,A
11,22,30,6,12,18,14,30,44,B
20,23,29,6,12,18,7,15,22,B
15,23,28,6,11,18,0,8,15,B
15,22,26,6,11,17,0,0,0,A
22,25,31,5,11,17,0,0,0,B
5,8,14,4,10,16,0,0,0,A
7,13,15,6,12,18,0,0,0,A
22,40,49,6,12,18,7,15,22,C
11,15,20,6,12,18,0,0,0,A
7,11,14,6,12,18,0,0,0,B
14,22,27,5,11,18,7,15,23,B
20,32,40,5,11,17,14,30,46,B
20,31,37,5,11,17,0,0,0,A
16,23,30,3,10,15,8,15,24,B
0,5,21,0,4,9,6,14,21,C
20,27,31,6,12,18,7,16,23,C
5,10,13,5,11,18,0,0,0,A
20,34,37,5,11,17,7,16,23,B
3,4,7,5,11,17,0,0,0,A
3,10,14,5,10,17,0,0,0,A
4,4,12,4,10,16,0,0,0,A
3,4,4,3,9,15,0,0,0,A
3,6,8,1,7,13,0,0,0,A
15,18,22,6,12,19,7,16,23,B
3,5,7,5,11,17,0,0,0,A
0,3,5,0,2,8,0,0,0,A
24,30,35,6,12,18,14,32,46,C
22,28,34,6,12,18,0,0,0,C
6,7,10,5,12,18,0,0,0,A
3,4,4,5,11,18,0,0,0,A
8,9,9,5,11,17,0,0,0,A
5,8,8,5,11,17,0,0,0,A
3,3,4,5,11,17,7,16,23,B
23,27,32,5,11,17,0,0,0,B
5,9,10,5,11,17,0,0,0,A
18,21,24,5,11,17,0,0,0,A
16,22,24,5,11,17,18,32,46,C
5,6,6,4,11,17,0,0,0,A
18,30,33,4,10,16,0,0,0,B
15,29,30,4,10,16,0,0,0,A
16,21,23,4,11,17,0,0,0,A
12,17,19,4,10,16,16,30,44,C
19,32,37,4,10,16,0,0,0,B
0,3,4,0,6,12,0,0,0,A
0,3,4,0,1,6,0,0,0,A
7,7,7,5,12,18,0,0,0,A
5,5,5,5,12,18,0,0,0,A
8,10,10,5,11,17,0,0,0,B
18,26,28,4,10,17,0,0,0,A
6,7,10,4,10,16,0,0,0,A
4,4,4,4,10,16,0,0,0,A
4,6,6,3,10,16,0,0,0,A
13,21,23,6,13,19,0,0,0,A
17,27,34,6,12,18,27,48,69,C
5,5,5,5,12,18,0,0,0,A
18,18,20,5,11,18,0,0,0,A
6,8,8,5,11,17,0,0,0,A
8,8,8,5,11,17,0,0,0,A
5,6,6,5,11,17,0,0,0,A
4,4,4,5,11,17,0,0,0,A
16,22,23,5,11,17,18,32,46,B
10,13,15,4,11,17,0,0,0,A
11,12,14,4,11,17,0,0,0,A
3,4,4,4,11,17,0,0,0,A
9,15,16,4,10,16,0,0,0,A
3,8,27,1,8,14,8,15,22,C
7,9,10,4,11,17,0,0,0,A
10,11,18,4,10,16,0,0,0,A
5,10,12,3,10,16,0,0,0,A
5,8,9,2,9,15,0,0,0,A
5,6,6,2,8,14,0,0,0,A
0,13,16,0,6,12,0,0,0,A
17,18,25,6,12,19,0,0,0,A
13,13,13,5,11,18,0,0,0,A
9,16,19,5,11,18,0,0,0,A
16,22,24,5,11,17,0,0,0,A
3,6,10,6,12,18,0,0,0,A
8,16,25,6,12,18,0,0,0,B
4,5,6,5,12,18,0,0,0,A
14,16,18,5,11,18,0,0,0,A
4,6,8,4,10,17,0,0,0,A
17,26,30,5,11,18,7,14,21,B
4,13,14,5,11,17,0,0,0,B
31,44,50,6,12,19,7,14,21,B
12,17,27,1,7,14,0,0,0,A
0,13,23,0,5,11,9,16,22,C
7,9,10,6,12,19,0,0,0,A
7,12,14,5,12,18,0,0,0,A
20,25,28,5,11,18,0,0,0,B
6,8,9,5,11,18,0,0,0,A
6,10,15,5,11,18,0,0,0,A
0,2,2,0,5,12,0,0,0,A
12,18,24,6,12,19,0,0,0,A
13,19,24,6,12,19,14,28,42,C
6,6,6,5,11,18,0,0,0,A
5,10,11,3,9,16,0,0,0,A
5,10,13,3,9,15,0,0,0,A
5,6,7,6,12,19,0,0,0,A
9,15,18,6,12,19,0,0,0,C
8,11,15,5,12,18,0,0,0,A
9,19,26,5,11,18,0,0,0,A
7,12,14,6,12,19,7,14,21,C
5,7,15,4,10,17,0,0,0,A
15,19,19,6,12,19,0,0,0,A
3,7,13,4,11,17,7,14,21,B
8,8,8,4,11,17,0,0,0,A
0,0,9,0,0,6,0,0,0,A
0,0,9,0,0,6,0,0,0,A
0,0,8,0,0,6,0,0,0,A
8,10,13,5,12,18,0,0,0,A
6,11,14,4,11,17,0,0,0,A
8,13,19,4,11,18,0,0,0,A
2,4,7,2,9,15,0,0,0,A
11,15,15,5,12,19,0,0,0,A
12,17,17,5,12,18,8,15,21,B
0,4,5,0,4,11,0,0,0,A
13,20,21,5,12,19,8,14,21,B
7,12,15,3,10,16,7,14,21,A
11,14,14,5,12,19,16,28,42,B
22,22,23,5,12,19,0,0,0,A
18,18,18,5,12,19,0,0,0,A
18,28,33,5,12,18,0,0,0,B
16,24,28,5,12,18,7,14,21,B
3,9,9,2,8,15,0,0,0,A
8,12,15,5,12,18,8,14,21,C
7,11,14,5,11,18,7,14,20,C
25,33,39,6,12,19,0,0,0,C
4,4,4,6,12,19,0,0,0,A
14,23,35,6,12,19,7,14,20,C
4,6,8,3,10,16,0,0,0,A
0,0,3,0,0,3,0,0,0,A
4,8,10,4,10,17,0,0,0,B
10,17,20,4,11,18,0,0,0,C
7,7,7,5,11,17,0,0,0,A
7,7,7,5,11,17,0,0,0,A
5,5,5,6,13,19,0,0,0,A
5,5,5,5,12,18,0,0,0,A
11,22,25,6,12,19,7,14,21,C
4,13,22,5,11,18,7,14,20,C
2,7,7,5,11,18,0,0,0,A
2,4,4,4,11,17,0,0,0,A
2,2,2,6,13,19,0,0,0,A
6,7,9,6,13,19,0,0,0,A
6,7,8,6,13,19,0,0,0,A
9,13,22,5,12,18,14,27,42,B
6,7,7,5,12,18,0,0,0,A
4,5,5,5,11,17,0,0,0,A
0,8,14,0,5,11,7,13,20,C
2,3,3,5,12,18,0,0,0,A
12,27,36,5,11,18,13,27,41,C
13,17,21,2,9,15,0,0,0,B
18,22,24,5,11,18,0,0,0,B
11,16,20,5,11,18,0,0,0,B
10,13,14,6,12,18,0,0,0,A
3,3,4,4,11,17,0,0,0,A
15,15,16,5,12,19,0,0,0,A
5,6,6,5,12,18,0,0,0,A
13,13,14,5,12,18,0,0,0,A
2,2,5,2,8,14,0,0,0,A
3,4,4,5,11,18,0,0,0,A
8,14,16,4,10,17,0,0,0,A
22,25,30,6,13,19,0,0,0,A
7,11,13,4,11,17,0,0,0,A
4,6,7,6,13,19,0,0,0,A
14,24,35,6,12,19,7,14,21,C
12,22,35,6,12,19,0,0,0,B
6,9,11,5,12,18,7,14,22,B
14,22,34,5,12,18,14,28,43,C
12,15,17,6,12,19,0,0,0,A
7,8,8,6,12,19,0,0,0,A
26,44,63,6,13,19,7,13,21,C
11,12,16,6,13,19,0,0,0,B
3,6,8,6,12,19,0,0,0,C
0,3,3,0,6,12,0,0,0,A
21,33,43,5,11,18,7,14,21,C
5,8,9,2,8,15,0,0,0,A
9,11,11,5,11,18,0,0,0,A
2,3,3,5,11,18,0,0,0,A
0,0,0,0,0,0,0,0,0,A
7,9,9,5,11,18,0,0,0,C
10,10,10,6,13,19,0,0,0,A
4,4,5,6,12,19,0,0,0,A
4,8,8,4,10,17,0,0,0,A
4,4,5,4,11,17,0,0,0,A
9,14,15,5,12,18,0,0,0,C
8,8,8,5,11,18,0,0,0,A
0,3,3,0,5,11,0,0,0,A
11,11,11,6,12,19,0,0,0,A
6,6,6,4,10,17,0,0,0,A
4,4,4,4,10,17,0,0,0,A
5,6,6,6,12,19,0,0,0,A
5,13,13,5,12,18,14,28,54,C
5,6,6,5,11,18,0,0,0,A
0,4,7,0,5,12,0,0,0,A
6,7,7,5,12,18,0,0,0,A
6,12,18,5,11,18,29,62,120,C
11,15,18,6,12,18,7,17,32,C
4,5,6,7,13,19,0,0,0,A
8,8,12,7,13,19,6,19,34,C
7,7,10,5,11,17,0,0,0,A
2,2,3,5,11,17,0,0,0,A
7,7,16,5,11,17,0,0,0,B
7,9,15,5,11,17,0,0,0,A
3,3,5,5,11,17,0,0,0,A
8,8,11,5,11,17,0,0,0,A
8,8,11,5,11,17,0,0,0,A
8,10,18,5,11,17,16,44,74,C
2,2,2,4,10,15,0,0,0,B
3,3,3,1,7,13,0,0,0,A
7,8,8,4,10,16,14,29,37,B
0,2,3,0,4,10,0,0,0,A
3,7,10,4,10,16,0,0,0,A
59,83,103,5,11,16,0,0,0,B
5,10,18,3,9,15,0,0,0,A
3,3,5,2,8,13,0,0,0,A
2,3,8,5,12,18,0,0,0,A
9,10,11,2,8,13,0,0,0,A
2,5,16,5,11,17,0,0,0,B
4,6,6,6,12,19,0,0,0,A
6,7,7,4,11,17,0,0,0,A
