@RELATION Digg_SocialDynamicsBasedFeatures
@ATTRIBUTE tpc1  NUMERIC
@ATTRIBUTE tpc2  NUMERIC
@ATTRIBUTE upc1  NUMERIC
@ATTRIBUTE upc2  NUMERIC
@ATTRIBUTE digg1  NUMERIC
@ATTRIBUTE digg2  NUMERIC
@ATTRIBUTE authorDiggs  NUMERIC
@ATTRIBUTE authorComments  NUMERIC
@ATTRIBUTE authorFans  NUMERIC
@ATTRIBUTE authorFollows  NUMERIC
@ATTRIBUTE authorSubmissions  NUMERIC
@ATTRIBUTE class {A, B, C, D}
@DATA
0,0,0,4,0,10,2261,5,89,14,215,B
0,0,6,10,7,14,30561,2039,4395,935,530,C
0,0,5,10,3,4,29473,1554,1806,428,4179,C
0,0,0,0,0,0,63426,4420,3163,668,4098,A
0,0,5,9,8,11,89707,15817,14341,1551,2667,C
7,13,6,8,6,8,11553,18,574,44,166,D
7,14,3,8,5,6,1195,32,196,227,147,D
0,0,0,1,0,13,2572,108,72,87,9,C
0,0,5,6,5,8,248,4,92,138,36,B
0,0,5,6,33,41,3591,7,175,19,46,C
0,0,4,6,3,6,374,154,70,5,263,A
0,0,3,6,18,20,2463,12,218,573,77,B
0,0,5,5,4,5,594,7,162,36,290,B
0,0,5,5,11,15,434,1,40,15,21,B
0,0,3,5,24,26,686,0,41,10,8,C
0,0,3,5,8,12,89707,15817,14341,1551,2667,C
0,0,0,5,0,27,52,0,24,0,44,B
0,0,4,4,3,3,5096,510,286,2,3533,A
0,0,4,4,4,4,100,0,86,162,17,A
0,0,4,4,16,20,4451,48,407,161,59,B
21,42,4,4,23,41,13951,289,2957,224,552,D
7,14,4,4,8,10,82931,121,8762,875,1841,D
0,0,4,4,4,6,779,327,7,14,210,A
0,0,4,4,4,5,1909,0,2,0,435,B
0,0,0,2,0,2,190,0,114,160,75,A
6,13,0,0,0,0,2805,16,711,1229,394,C
0,0,3,3,21,40,4878,43,337,41,97,C
0,0,3,3,24,29,8695,11,895,511,148,C
0,0,3,3,23,28,3624,5,199,33,48,C
0,0,3,3,21,38,1139,7,162,36,36,B
0,0,3,3,2,4,371,1,13,35,344,A
0,0,3,3,6,7,22,4,90,54,9,B
0,0,3,3,6,8,82931,121,8762,875,1841,C
0,0,2,3,3,4,6937,1151,539,1005,4452,B
0,0,1,3,3,4,6937,1151,539,1005,4452,B
0,0,2,2,7,7,2324,0,4,0,956,B
0,0,1,2,3,3,4239,0,407,211,3210,C
0,0,4,4,19,22,182,0,35,7,33,B
35,69,4,4,32,39,5577,37,409,633,82,D
0,0,4,4,4,6,657,54,407,495,295,A
0,0,4,4,6,6,119,1,96,53,87,A
0,0,4,4,5,5,408,20,157,258,55,A
0,0,4,4,4,10,119,1,96,53,87,B
0,0,4,4,6,6,55,0,33,0,53,A
16,28,3,4,15,21,23813,118,3292,1189,306,D
0,0,2,4,16,26,1037,2,58,7,40,B
0,0,2,4,11,11,2253,5,134,59,153,B
0,0,2,4,4,4,777,4,312,346,389,A
0,0,1,4,6,6,110,0,244,392,24,A
0,0,1,4,7,7,1224,2,103,15,1147,A
0,0,1,4,6,6,270,32,6,2,262,A
0,0,1,4,10,13,1243,2,91,59,53,B
0,0,1,4,19,34,1545,1,56,6,17,B
0,0,1,4,8,9,5284,863,486,222,1156,B
0,0,1,4,4,4,5284,863,486,222,1156,A
0,0,0,4,18,30,1545,1,56,6,17,B
14,28,0,4,0,35,836,8,72,244,17,D
0,0,0,4,0,18,2456,3,83,24,4,C
0,0,0,4,0,7,2649,4,6,0,812,B
0,0,0,4,0,30,836,8,72,244,17,D
0,0,0,4,0,2,5038,4036,568,103,635,B
0,0,0,4,0,11,217898,11753,11736,183,2468,B
0,0,0,4,0,12,2524,39,798,11,2499,B
0,0,0,4,0,19,364,1,139,172,26,B
0,0,0,4,0,27,1581,3,88,153,38,B
0,0,0,4,0,11,138783,711,8161,290,1434,B
0,0,0,4,0,28,93170,477,3652,109,360,C
0,0,0,4,0,27,93170,477,3652,109,360,C
0,0,0,4,0,2,5038,4036,568,103,635,B
