@RELATION Digg_SocialDynamicsBasedFeatures
@ATTRIBUTE digg1  NUMERIC
@ATTRIBUTE digg2  NUMERIC
@ATTRIBUTE digg3  NUMERIC
@ATTRIBUTE upc1  NUMERIC
@ATTRIBUTE upc2  NUMERIC
@ATTRIBUTE upc3  NUMERIC
@ATTRIBUTE tpc1  NUMERIC
@ATTRIBUTE tpc2  NUMERIC
@ATTRIBUTE tpc3  NUMERIC
@ATTRIBUTE authorDiggs  NUMERIC
@ATTRIBUTE authorComments  NUMERIC
@ATTRIBUTE authorFans  NUMERIC
@ATTRIBUTE authorFollows  NUMERIC
@ATTRIBUTE authorSubmissions  NUMERIC
@ATTRIBUTE class {A, B, C}
@DATA
0,0,13,0,0,6,0,0,0,32911,3173,941,331,297,A
0,0,26,0,0,5,0,0,0,652,7,103,38,21,B
0,0,9,0,0,5,0,0,0,16387,4852,2813,588,4178,A
0,0,18,0,0,4,0,0,0,652,7,103,38,21,A
0,0,10,0,0,3,0,0,0,16387,4852,2813,588,4178,A
0,0,23,0,0,3,0,0,0,13128,69,1543,96,528,A
0,0,2,0,0,3,0,0,0,63426,4420,3163,668,4098,A
0,0,12,0,0,3,14,28,42,13128,69,1543,96,528,C
0,0,6,0,0,2,0,0,0,12160,1336,844,360,1717,A
0,0,13,0,0,2,0,0,0,16387,4852,2813,588,4178,A
0,0,18,0,0,2,0,0,0,163194,2959,8724,1131,2273,A
0,0,20,0,0,2,0,0,0,461,0,103,52,14,A
0,0,11,0,0,2,0,0,0,76527,214,1784,926,2152,A
0,0,21,0,0,1,0,0,0,461,0,103,52,14,B
0,0,28,0,0,1,7,14,21,95170,8068,4826,657,3630,C
0,0,8,0,0,1,0,0,0,11518,785,879,34,3358,A
0,0,19,0,0,1,7,14,21,668,6,65,23,4,C
0,0,21,0,0,1,0,0,0,12,0,53,62,1,A
0,0,12,0,0,0,0,0,0,31,0,3,2,2,A
0,0,0,0,0,0,0,0,0,2649,4,6,0,812,A
11,24,28,5,12,17,6,13,20,93204,482,19941,1605,4426,C
7,10,17,0,7,13,0,0,0,108069,1205,7386,351,1595,B
0,0,17,0,0,6,0,0,0,5947,36,764,1019,4680,A
12,19,19,5,12,16,7,14,20,2808,1,124,52,50,B
0,3,3,0,4,11,0,0,0,97,1,5,0,46,A
8,8,9,6,12,16,0,0,0,215,0,0,0,3,A
6,6,8,6,12,16,20,40,60,5191,3,1233,52,2597,C
0,3,3,0,6,13,0,0,0,26861,1232,1586,226,2254,A
11,14,20,5,12,15,0,0,0,1139,7,162,36,36,A
0,4,4,0,4,11,0,0,0,5821,443,1593,942,1742,A
17,22,23,7,13,15,0,0,0,52120,329,3954,301,678,A
14,22,22,6,12,15,0,0,0,52120,329,3954,301,678,B
13,16,18,6,12,15,0,0,0,97303,1576,26429,615,20977,A
13,25,25,5,11,15,21,39,60,2193,13,722,37,406,B
3,3,3,4,10,13,0,0,0,120,1,20,8,15,A
8,13,15,6,12,13,6,13,19,111719,177,4316,683,2355,B
24,40,47,6,12,13,0,0,0,5577,37,409,633,82,A
2,2,2,4,11,13,0,0,0,5096,510,286,2,3533,A
4,8,8,4,10,13,0,0,0,633,5,156,65,64,A
3,14,17,3,10,13,0,0,0,571,0,140,1142,56,A
3,22,32,3,9,13,0,0,0,52,0,24,0,44,A
0,3,10,0,6,10,0,0,0,364,1,139,172,26,A
0,3,12,0,5,10,0,0,0,364,1,139,172,26,A
19,34,41,6,11,11,28,53,80,226,0,377,247,38,C
11,16,17,5,11,11,0,0,0,646,11,224,19,62,A
15,28,34,5,11,11,0,0,0,52,0,24,0,44,A
11,14,23,4,11,11,0,0,0,23813,118,3292,1189,306,B
0,9,12,0,5,8,0,0,0,2261,5,89,14,215,A
0,10,12,0,4,8,0,0,0,2261,5,89,14,215,A
7,14,15,6,10,10,0,0,0,30561,2039,4395,935,530,B
