@RELATION Digg_SocialDynamicsBasedFeatures
@ATTRIBUTE digg1  NUMERIC
@ATTRIBUTE digg2  NUMERIC
@ATTRIBUTE upc1  NUMERIC
@ATTRIBUTE upc2  NUMERIC
@ATTRIBUTE tpc1  NUMERIC
@ATTRIBUTE tpc2  NUMERIC
@ATTRIBUTE class {A, B, C}
@DATA
16,17,4,10,0,0,A
3,6,4,10,0,0,A
3,6,2,8,0,0,A
4,5,5,11,0,0,A
6,11,5,11,0,0,A
6,7,5,11,0,0,A
7,8,5,11,0,0,A
21,30,5,12,0,0,B
27,38,5,11,0,0,B
33,43,5,11,8,14,C
13,22,5,11,0,0,A
4,4,3,9,0,0,A
4,10,6,12,21,44,C
17,28,5,12,0,0,C
4,6,5,11,0,0,A
16,29,5,11,7,15,A
3,6,1,7,7,14,A
13,19,6,12,0,6,B
15,21,6,12,24,45,C
7,9,5,12,0,0,A
2,3,5,11,0,0,A
5,5,5,11,0,0,A
20,30,4,10,8,15,B
0,3,0,5,0,0,A
35,44,5,11,0,0,B
5,5,4,10,0,0,A
2,2,4,10,0,0,A
4,15,5,11,7,14,A
20,26,5,11,0,0,A
14,26,5,11,0,0,B
14,25,4,11,0,0,A
13,21,4,10,0,0,C
2,4,2,9,0,0,A
10,10,4,11,0,0,A
4,4,2,9,0,0,A
2,3,1,7,0,0,A
20,27,5,12,0,0,B
7,10,5,11,0,0,B
19,32,5,11,8,15,B
4,9,5,11,0,0,A
13,14,5,11,8,15,B
14,28,5,11,0,0,B
2,2,5,11,0,0,A
8,11,4,10,0,0,A
0,8,0,6,7,14,A
0,3,0,2,0,0,A
11,22,6,12,14,30,B
20,23,6,12,7,15,B
15,23,6,11,0,8,B
15,22,6,11,0,0,A
22,25,5,11,0,0,B
5,8,4,10,0,0,A
7,13,6,12,0,0,A
22,40,6,12,7,15,C
11,15,6,12,0,0,A
7,11,6,12,0,0,B
14,22,5,11,7,15,B
20,32,5,11,14,30,B
20,31,5,11,0,0,A
16,23,3,10,8,15,B
0,5,0,4,6,14,C
20,27,6,12,7,16,C
5,10,5,11,0,0,A
20,34,5,11,7,16,B
3,4,5,11,0,0,A
3,10,5,10,0,0,A
4,4,4,10,0,0,A
3,4,3,9,0,0,A
3,6,1,7,0,0,A
15,18,6,12,7,16,B
3,5,5,11,0,0,A
0,3,0,2,0,0,A
24,30,6,12,14,32,C
22,28,6,12,0,0,C
6,7,5,12,0,0,A
3,4,5,11,0,0,A
8,9,5,11,0,0,A
5,8,5,11,0,0,A
3,3,5,11,7,16,B
23,27,5,11,0,0,B
5,9,5,11,0,0,A
18,21,5,11,0,0,A
16,22,5,11,18,32,C
5,6,4,11,0,0,A
18,30,4,10,0,0,B
15,29,4,10,0,0,A
16,21,4,11,0,0,A
12,17,4,10,16,30,C
19,32,4,10,0,0,B
0,3,0,6,0,0,A
0,3,0,1,0,0,A
7,7,5,12,0,0,A
5,5,5,12,0,0,A
8,10,5,11,0,0,B
18,26,4,10,0,0,A
6,7,4,10,0,0,A
4,4,4,10,0,0,A
4,6,3,10,0,0,A
13,21,6,13,0,0,A
17,27,6,12,27,48,C
5,5,5,12,0,0,A
18,18,5,11,0,0,A
6,8,5,11,0,0,A
8,8,5,11,0,0,A
5,6,5,11,0,0,A
4,4,5,11,0,0,A
16,22,5,11,18,32,B
10,13,4,11,0,0,A
11,12,4,11,0,0,A
3,4,4,11,0,0,A
9,15,4,10,0,0,A
3,8,1,8,8,15,C
7,9,4,11,0,0,A
10,11,4,10,0,0,A
5,10,3,10,0,0,A
5,8,2,9,0,0,A
5,6,2,8,0,0,A
0,13,0,6,0,0,A
17,18,6,12,0,0,A
13,13,5,11,0,0,A
9,16,5,11,0,0,A
16,22,5,11,0,0,A
3,6,6,12,0,0,A
8,16,6,12,0,0,B
4,5,5,12,0,0,A
14,16,5,11,0,0,A
4,6,4,10,0,0,A
17,26,5,11,7,14,B
4,13,5,11,0,0,B
31,44,6,12,7,14,B
12,17,1,7,0,0,A
0,13,0,5,9,16,C
7,9,6,12,0,0,A
7,12,5,12,0,0,A
20,25,5,11,0,0,B
6,8,5,11,0,0,A
6,10,5,11,0,0,A
0,2,0,5,0,0,A
12,18,6,12,0,0,A
13,19,6,12,14,28,C
6,6,5,11,0,0,A
5,10,3,9,0,0,A
5,10,3,9,0,0,A
5,6,6,12,0,0,A
9,15,6,12,0,0,C
8,11,5,12,0,0,A
9,19,5,11,0,0,A
7,12,6,12,7,14,C
5,7,4,10,0,0,A
15,19,6,12,0,0,A
3,7,4,11,7,14,B
8,8,4,11,0,0,A
0,0,0,0,0,0,A
0,0,0,0,0,0,A
0,0,0,0,0,0,A
8,10,5,12,0,0,A
6,11,4,11,0,0,A
8,13,4,11,0,0,A
2,4,2,9,0,0,A
11,15,5,12,0,0,A
12,17,5,12,8,15,B
0,4,0,4,0,0,A
13,20,5,12,8,14,B
7,12,3,10,7,14,A
11,14,5,12,16,28,B
22,22,5,12,0,0,A
18,18,5,12,0,0,A
18,28,5,12,0,0,B
16,24,5,12,7,14,B
3,9,2,8,0,0,A
8,12,5,12,8,14,C
7,11,5,11,7,14,C
25,33,6,12,0,0,C
4,4,6,12,0,0,A
14,23,6,12,7,14,C
4,6,3,10,0,0,A
0,0,0,0,0,0,A
4,8,4,10,0,0,B
10,17,4,11,0,0,C
7,7,5,11,0,0,A
7,7,5,11,0,0,A
5,5,6,13,0,0,A
5,5,5,12,0,0,A
11,22,6,12,7,14,C
4,13,5,11,7,14,C
2,7,5,11,0,0,A
2,4,4,11,0,0,A
2,2,6,13,0,0,A
6,7,6,13,0,0,A
6,7,6,13,0,0,A
9,13,5,12,14,27,B
6,7,5,12,0,0,A
4,5,5,11,0,0,A
