@RELATION Digg_SocialDynamicsBasedFeatures
@ATTRIBUTE tpc1  NUMERIC
@ATTRIBUTE upc1  NUMERIC
@ATTRIBUTE tpc2  NUMERIC
@ATTRIBUTE upc2  NUMERIC
@ATTRIBUTE digg1  NUMERIC
@ATTRIBUTE digg2  NUMERIC
@ATTRIBUTE class {A, B, C, D}
@DATA
7,1,13,1,7,18,D
0,1,0,1,6,20,C
0,1,0,1,7,7,B
0,1,0,1,3,7,B
0,6,0,12,3,5,A
12,6,26,12,27,43,D
0,5,0,11,10,18,B
0,4,0,11,5,7,B
0,4,0,10,11,17,B
7,4,13,10,7,9,C
0,4,0,10,4,7,B
0,4,0,10,3,3,B
0,3,0,10,3,4,A
0,3,0,9,2,2,A
0,3,0,9,5,6,A
0,3,0,9,14,29,D
0,3,0,9,3,3,A
0,3,0,9,3,3,A
0,2,0,9,4,4,A
0,2,0,8,5,5,B
0,2,0,8,4,4,A
0,1,0,7,2,3,A
0,1,0,7,3,3,A
7,1,13,7,2,3,C
0,0,0,7,7,7,B
7,0,14,7,0,32,D
0,0,0,6,0,26,C
0,0,0,6,0,5,B
0,0,0,6,0,5,A
0,0,0,6,0,5,A
0,0,0,6,0,6,A
13,0,27,6,0,12,C
0,0,0,5,0,7,B
0,0,0,5,0,6,A
0,0,0,5,0,6,A
0,0,0,5,0,5,B
0,0,0,5,0,5,A
0,0,0,5,0,5,B
0,0,0,5,0,25,C
0,0,0,5,0,5,B
0,0,0,5,0,32,D
0,0,0,4,0,15,C
0,0,0,4,0,24,B
12,0,26,4,0,24,D
0,0,0,4,0,6,A
0,0,0,4,0,13,C
0,0,0,3,0,4,A
7,0,13,3,0,29,D
6,0,13,3,0,34,D
7,0,14,3,0,11,C
0,0,0,3,0,23,B
0,0,0,2,0,19,B
0,0,0,2,0,9,B
0,0,0,2,0,16,B
0,0,0,1,0,2,A
0,0,0,1,0,5,A
7,0,13,1,0,14,C
0,0,0,1,0,4,A
0,0,0,1,0,7,A
0,0,0,1,0,19,B
0,0,0,1,0,8,A
0,0,0,1,0,16,B
0,0,0,1,0,30,D
0,0,0,1,0,5,B
0,0,0,1,0,27,D
14,0,26,1,0,11,C
0,0,0,0,0,17,B
14,0,26,0,0,45,D
0,0,0,0,0,0,A
0,0,0,0,0,0,C
12,0,26,0,0,0,D
6,0,13,0,0,0,C
0,0,0,0,0,0,A
0,0,0,0,0,0,A
0,0,0,0,0,0,B
0,0,0,0,0,0,A
0,0,0,0,0,0,B
0,0,0,0,0,0,B
0,0,0,0,0,0,B
0,0,0,0,0,0,A
0,0,0,0,0,0,C
0,0,0,0,0,0,A
0,0,0,0,0,0,A
0,0,0,0,0,0,A
0,0,0,0,0,0,A
0,0,0,0,0,0,B
0,0,0,0,0,0,A
0,0,0,0,0,0,B
0,0,0,0,0,0,B
0,0,0,0,0,0,A
0,0,0,0,0,0,B
0,4,0,10,3,4,A
7,6,13,12,17,31,D
0,4,0,10,8,15,B
0,4,0,10,3,3,A
7,6,14,12,10,23,C
0,1,0,7,2,3,B
0,0,0,4,0,3,B
12,5,26,11,3,4,D
0,5,0,11,5,8,B
0,5,0,11,4,5,A
0,4,0,10,3,5,B
0,4,0,10,2,2,A
0,3,0,10,8,8,A
0,3,0,9,6,7,B
0,0,0,5,0,4,A
0,0,0,5,0,3,B
0,0,0,4,0,5,B
0,6,0,11,5,5,A
0,6,0,11,6,6,A
0,6,0,11,3,3,A
0,5,0,11,20,28,D
0,4,0,10,6,14,B
0,6,0,12,18,23,B
0,6,0,12,5,5,A
0,6,0,12,8,10,B
0,6,0,12,16,19,B
0,6,0,11,5,6,A
0,6,0,11,3,3,A
0,5,0,10,3,5,A
0,0,0,6,0,4,A
0,6,0,12,4,4,B
0,6,0,12,3,3,A
0,6,0,11,6,8,B
0,6,0,11,5,5,A
7,6,14,11,16,31,D
7,6,14,11,22,31,C
7,5,14,11,22,26,C
0,5,0,11,6,6,A
0,5,0,11,3,3,B
