@RELATION Digg_SocialDynamicsBasedFeatures
@ATTRIBUTE digg1  NUMERIC
@ATTRIBUTE digg2  NUMERIC
@ATTRIBUTE digg3  NUMERIC
@ATTRIBUTE digg4  NUMERIC
@ATTRIBUTE digg5  NUMERIC
@ATTRIBUTE upc1  NUMERIC
@ATTRIBUTE upc2  NUMERIC
@ATTRIBUTE upc3  NUMERIC
@ATTRIBUTE upc4  NUMERIC
@ATTRIBUTE upc5  NUMERIC
@ATTRIBUTE tpc1  NUMERIC
@ATTRIBUTE tpc2  NUMERIC
@ATTRIBUTE tpc3  NUMERIC
@ATTRIBUTE tpc4  NUMERIC
@ATTRIBUTE tpc5  NUMERIC
@ATTRIBUTE class {A, B, C}
@DATA
0,0,11,21,21,0,0,2,2,2,6,13,20,26,33,B
21,40,49,52,56,3,3,3,3,3,0,0,0,0,0,B
24,29,46,48,52,3,3,3,3,3,0,0,0,0,0,B
23,28,44,48,52,3,3,3,3,3,0,0,0,0,0,B
21,38,48,48,51,3,3,3,3,3,0,0,0,0,0,A
6,7,13,18,24,3,3,3,3,3,0,0,0,0,0,A
6,8,13,18,21,3,3,3,3,3,0,0,0,0,0,B
3,4,5,13,14,2,3,3,3,3,0,0,0,0,0,A
7,7,8,9,10,2,2,2,2,2,0,0,0,0,0,A
3,3,14,29,41,1,2,2,2,2,0,0,0,0,0,B
19,22,22,22,22,4,4,4,4,4,0,0,0,0,0,A
32,39,43,43,43,4,4,4,4,4,35,69,100,135,166,C
4,10,11,12,14,4,4,4,4,4,0,0,0,0,0,A
15,21,31,37,46,3,4,4,4,4,16,28,42,54,68,C
16,26,28,31,31,2,4,4,4,4,0,0,0,0,0,A
11,11,11,11,11,2,4,4,4,4,0,0,0,0,0,A
10,13,13,13,13,1,4,4,4,4,0,0,0,0,0,A
19,34,37,39,39,1,4,4,4,4,0,0,0,0,0,A
18,30,31,31,31,0,4,4,4,4,0,0,0,0,0,A
0,35,50,59,77,0,4,4,4,4,14,28,42,54,68,C
0,18,25,36,45,0,4,4,4,4,0,0,0,0,0,B
0,7,7,8,8,0,4,4,4,4,0,0,0,0,0,A
0,30,42,50,66,0,4,4,4,4,0,0,0,0,0,C
0,11,17,21,25,0,4,4,4,4,0,0,0,0,0,A
0,12,12,12,12,0,4,4,4,4,0,0,0,0,0,A
0,19,19,19,19,0,4,4,4,4,0,0,0,0,0,A
0,27,36,38,38,0,4,4,4,4,0,0,0,0,0,A
0,11,15,16,19,0,4,4,4,4,0,0,0,0,0,A
0,28,35,42,48,0,4,4,4,4,0,0,0,0,0,B
0,27,32,40,45,0,4,4,4,4,0,0,0,0,0,B
0,2,2,3,3,0,4,4,4,4,0,0,0,0,0,A
0,9,11,28,28,0,4,4,4,4,0,0,0,0,0,A
0,21,26,34,38,0,4,4,4,4,0,0,0,0,0,B
0,20,25,34,38,0,4,4,4,4,7,15,21,28,34,B
0,12,15,17,20,0,3,4,4,4,0,0,0,0,0,A
0,51,60,66,80,0,2,4,4,4,0,0,0,0,0,C
0,0,13,13,13,0,0,4,4,4,0,0,0,0,0,A
0,0,4,5,12,0,0,2,2,2,0,0,0,0,0,A
0,0,31,43,55,0,0,2,2,2,14,27,42,56,68,C
0,0,7,11,12,0,0,1,1,1,0,0,0,0,0,A
6,8,8,10,11,3,3,3,3,3,0,0,0,0,0,A
6,7,7,7,7,1,1,1,1,1,0,0,0,0,0,A
7,18,30,39,47,1,1,1,1,1,7,13,20,26,33,C
6,20,31,40,50,1,1,1,1,1,0,0,0,0,0,B
7,7,7,7,7,1,1,1,1,1,0,0,0,0,0,A
3,7,8,8,8,1,1,1,1,1,0,0,0,0,0,A
27,43,54,64,87,6,12,13,13,13,12,26,40,58,86,C
10,18,33,37,42,5,11,13,13,13,0,0,0,0,0,A
5,7,9,10,12,4,11,13,13,13,0,0,0,0,0,A
11,17,18,25,26,4,10,13,13,13,0,0,0,0,0,A
7,9,10,14,16,4,10,12,12,12,7,13,20,28,35,B
4,7,8,9,10,4,10,12,12,12,0,0,0,0,0,A
14,29,41,58,69,3,9,12,12,12,0,0,0,0,0,C
5,5,16,30,37,2,8,12,12,12,0,0,0,0,0,A
2,3,7,11,11,1,7,10,10,10,7,13,20,27,34,B
7,7,7,7,7,0,7,10,10,10,0,0,0,0,0,A
0,32,42,54,67,0,7,10,10,10,7,14,20,28,35,C
0,26,35,50,63,0,6,10,10,10,0,0,0,0,0,B
0,5,8,9,9,0,6,10,10,10,0,0,0,0,0,A
0,12,17,20,22,0,6,10,10,10,13,27,39,55,68,B
0,7,9,9,11,0,5,10,10,10,0,0,0,0,0,A
